Product Name,Ingredients,Health Impact,Safer Alternative,Risk Level
Candy,"Sugar, Artificial Colors, High Fructose Corn Syrup","Leads to cavities and obesity","Dried Fruits (No Sugar Added)",Moderate
Puffed Rice Snacks,"Sodium, Artificial Flavors","Leads to high blood pressure","Homemade Puffed Rice with Veggies",Low
Popcorn (Butter),"Butter, Salt, Hydrogenated Oils","Leads to cholesterol buildup","Air-Popped Popcorn (No Butter)",Moderate
Fried Fish,"Oil, Salt, Batter (Refined Flour)","Increases cholesterol and heart risk","Grilled Fish with Spices",High
Salty Crackers,"Refined Flour, High Salt","Causes blood pressure spikes","Whole Grain Crackers (Low Sodium)",Moderate
Tacos,"Refined Flour Tortilla, Cheese, Processed Toppings","Leads to high sodium and weight gain","Corn Tortilla with Fresh Veggies",Moderate
Bhel Puri,"Fried Puffed Rice, Tamarind Sauce","High sodium and sugar content","Use Baked Puffed Rice with Fresh Veggies",Moderate
Spring Rolls,"Refined Flour, Oil, Preservatives","Leads to high cholesterol and weight gain","Baked Spring Rolls",Moderate
Samosa,"Refined Flour, Potatoes, Oil","Causes weight gain and high cholesterol","Baked Samosa (Whole Wheat)",High
Falooda,"Sugar, Vermicelli, Artificial Syrups","Leads to high sugar levels and weight gain","Fruit-Based Dessert (No Added Sugar)",Moderate
Brownies,"Sugar, Butter, Refined Flour","Contributes to weight gain and diabetes","Black Bean Brownies (Low Sugar)",High
Chicken Biryani,"Refined Oil, Ghee, White Rice","Leads to obesity and cholesterol","Use Brown Rice with Lean Protein",Moderate
Processed Cheese,"Salt, Preservatives, Artificial Additives","Leads to high sodium and cholesterol","Low-Fat Cottage Cheese",Moderate
Fried Dumplings,"Refined Flour, Oil, Fillings","Leads to cholesterol buildup","Steamed Dumplings (Whole Wheat)",High
Sweetened Yogurt,"Added Sugar, Artificial Flavors","Leads to high sugar levels","Unsweetened Greek Yogurt with Fresh Fruits",Moderate
Processed Butter,"Trans Fats, Salt","Contributes to heart disease","Grass-Fed Butter",High
Fried Tofu,"Oil, Salt, Soy Sauce","Leads to weight gain","Grilled Tofu with Spices",Moderate
Rice Cakes,"Refined Rice, Sodium","Leads to blood sugar spikes","Whole Grain Rice Cakes (No Salt)",Low
Hot Chocolate,"Sugar, Artificial Cocoa Mix","Leads to weight gain and blood sugar spikes","Homemade Hot Chocolate (Low Sugar)",Moderate
Falafel (Fried),"Oil, Salt, Chickpeas","Increases cholesterol and weight","Baked Falafel",Moderate
Pizza Rolls,"Refined Flour, Cheese, Processed Fillings","Leads to high sodium and cholesterol","Whole Wheat Pizza Rolls (Veggie Fillings)",High
Pot Pies,"Refined Flour, Butter, Processed Fillings","Leads to high cholesterol and weight gain","Homemade Pot Pies (Whole Wheat)",High
Mozzarella Sticks,"Processed Cheese, Oil, Batter","Leads to weight gain and cholesterol buildup","Baked Mozzarella Sticks (Whole Wheat)",High
Sweetened Cereals,"Added Sugar, Artificial Flavors","Leads to obesity and cavities","Unsweetened Whole Grain Cereal",Moderate
Butter Cookies,"Butter, Sugar, Refined Flour","Leads to weight gain and cholesterol","Oatmeal Cookies (Low Sugar)",High
Fish Sticks,"Processed Fish, Oil, Batter","Leads to high sodium and cholesterol","Homemade Fish Sticks (Baked)",Moderate
Cola-Based Drinks,"Caffeine, High Fructose Corn Syrup","Leads to diabetes and obesity","Infused Water with Fresh Fruits",High
Hot Wings,"Oil, Salt, Spicy Sauces","Leads to cholesterol buildup","Grilled Chicken Wings (Low Sodium)",High
Processed Pancake Mix,"Refined Flour, Sugar, Preservatives","Leads to blood sugar spikes","Homemade Pancakes (Whole Grain)",Moderate
Tuna Sandwich (Processed),"Refined Bread, Mayonnaise","Leads to weight gain and high sodium","Whole Grain Bread with Fresh Tuna",Moderate
Processed Peanut Butter,"Added Sugar, Hydrogenated Oils","Leads to weight gain and heart issues","Natural Peanut Butter (No Additives)",Low
Frozen Pizza,"Refined Flour, Cheese, Preservatives","Leads to high sodium and weight gain","Whole Wheat Base with Veggie Toppings",High
